FECHA,COD_STA,COD_UBT,COD_SDS,POP,PDP
24/03/2020,I0,TAM,EUN,0,0
24/03/2020,I1,TAM,EUN,3.06E-06,1
24/03/2020,I2,TAM,EUN,0,0
24/03/2020,I3,TAM,EUN,0,0
24/03/2020,RE,TAM,EUN,0,0
24/03/2020,ND,TAM,EUN,0,0
24/03/2020,ED,TAM,EUN,0,0
24/03/2020,EX,TAM,EUN,0,0
24/03/2020,SU,TAM,EUN,0.999996945,327307
24/03/2020,I0,MAD,EUN,0,0
24/03/2020,I1,MAD,EUN,9.23E-06,2
24/03/2020,I2,MAD,EUN,0,0
24/03/2020,I3,MAD,EUN,0,0
24/03/2020,RE,MAD,EUN,0,0
24/03/2020,ND,MAD,EUN,0,0
24/03/2020,ED,MAD,EUN,0,0
24/03/2020,EX,MAD,EUN,0,0
24/03/2020,SU,MAD,EUN,0.999990769,216662
24/03/2020,I0,ALT,EUN,0,0
24/03/2020,I1,ALT,EUN,4.06E-06,1
24/03/2020,I2,ALT,EUN,0,0
24/03/2020,I3,ALT,EUN,0,0
24/03/2020,RE,ALT,EUN,0,0
24/03/2020,ND,ALT,EUN,0,0
24/03/2020,ED,ALT,EUN,0,0
24/03/2020,EX,ALT,EUN,0,0
24/03/2020,SU,ALT,EUN,0.999995944,246548
